2025-11-24 19:20:04 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:20:05 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:20:07 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:20:07 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:23:18 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:23:25 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:23:35 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:26:51 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:34:17 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:34:21 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:35:00 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:35:12 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
2025-11-24 19:35:13 | IP=172.16.38.25 | LAT=53.1686 | LON=8.6512
